,i,g,status
1058,40,18,TN
1059,40,19,TN
1060,40,20,TN
1061,40,21,TN
1062,40,22,TN
1063,40,23,TN
1064,40,24,TN
1065,40,25,TN
1066,41,0,FP
1067,41,1,FP
1068,41,2,TN
1069,41,3,TN
1070,41,4,TN
1071,41,5,TN
1072,41,6,TN
1073,41,7,TN
1074,41,8,TN
1075,41,9,TN
1076,41,10,TN
1077,41,11,TN
1078,41,12,TN
1079,41,13,TN
1080,41,14,TN
1081,41,15,TN
1082,41,16,TN
1083,41,17,TN
1084,41,18,TN
1085,41,19,TN
1086,41,20,TN
1087,41,21,TN
1088,41,22,TN
1089,41,23,TN
1090,41,24,TN
1091,41,25,TN
1092,42,0,TP
1093,42,1,TP
1094,42,2,TP
1095,42,3,TP
1096,42,4,TP
1097,42,5,TP
1098,42,6,TP
1099,42,7,TP
1100,42,8,TP
1101,42,9,TP
1102,42,10,TP
1103,42,11,TP
1104,42,12,TP
1105,42,13,TP
1106,42,14,TP
1107,42,15,TP
1108,42,16,TP
1109,42,17,TP
1110,42,18,TP
1111,42,19,TP
1112,42,20,TP
1113,42,21,TP
1114,42,22,FN
1115,42,23,FN
1116,42,24,FN
1117,42,25,FN
1118,43,0,FP
1119,43,1,FP
1120,43,2,TN
1121,43,3,TN
1122,43,4,TN
1123,43,5,TN
1124,43,6,TN
1125,43,7,TN
1126,43,8,TN
1127,43,9,TN
1128,43,10,TN
1129,43,11,TN
1130,43,12,TN
1131,43,13,TN
1132,43,14,TN
1133,43,15,TN
1134,43,16,TN
1135,43,17,TN
1136,43,18,TN
1137,43,19,TN
1138,43,20,TN
1139,43,21,TN
1140,43,22,TN
1141,43,23,TN
1142,43,24,TN
1143,43,25,TN
1144,44,0,FP
1145,44,1,FP
1146,44,2,TN
1147,44,3,TN
1148,44,4,TN
1149,44,5,TN
1150,44,6,TN
1151,44,7,TN
1152,44,8,TN
1153,44,9,TN
1154,44,10,TN
1155,44,11,TN
1156,44,12,TN
1157,44,13,TN
1158,44,14,TN
1159,44,15,TN
1160,44,16,TN
1161,44,17,TN
1162,44,18,TN
1163,44,19,TN
1164,44,20,TN
1165,44,21,TN
1166,44,22,TN
1167,44,23,TN
1168,44,24,TN
1169,44,25,TN
1170,45,0,FP
1171,45,1,FP
1172,45,2,FP
1173,45,3,TN
1174,45,4,TN
1175,45,5,TN
1176,45,6,TN
1177,45,7,TN
1178,45,8,TN
1179,45,9,TN
1180,45,10,TN
1181,45,11,TN
1182,45,12,TN
1183,45,13,TN
1184,45,14,TN
1185,45,15,TN
1186,45,16,TN
1187,45,17,TN
1188,45,18,TN
1189,45,19,TN
1190,45,20,TN
1191,45,21,TN
1192,45,22,TN
1193,45,23,TN
1194,45,24,TN
1195,45,25,TN
1196,46,0,TP
1197,46,1,TP
1198,46,2,TP
1199,46,3,TP
1200,46,4,TP
1201,46,5,TP
1202,46,6,TP
1203,46,7,TP
1204,46,8,TP
1205,46,9,TP
1206,46,10,TP
1207,46,11,TP
1208,46,12,TP
1209,46,13,TP
1210,46,14,TP
1211,46,15,TP
1212,46,16,TP
1213,46,17,TP
1214,46,18,TP
1215,46,19,TP
1216,46,20,TP
1217,46,21,TP
1218,46,22,TP
1219,46,23,FN
1220,46,24,FN
1221,46,25,FN
1222,47,0,FP
1223,47,1,FP
1224,47,2,TN
1225,47,3,TN
1226,47,4,TN
1227,47,5,TN
1228,47,6,TN
1229,47,7,TN
1230,47,8,TN
1231,47,9,TN
1232,47,10,TN
1233,47,11,TN
1234,47,12,TN
1235,47,13,TN
1236,47,14,TN
1237,47,15,TN
1238,47,16,TN
1239,47,17,TN
1240,47,18,TN
1241,47,19,TN
1242,47,20,TN
1243,47,21,TN
1244,47,22,TN
1245,47,23,TN
1246,47,24,TN
1247,47,25,TN
1248,48,0,FP
1249,48,1,FP
1250,48,2,TN
1251,48,3,TN
1252,48,4,TN
1253,48,5,TN
1254,48,6,TN
1255,48,7,TN
1256,48,8,TN
1257,48,9,TN
1258,48,10,TN
1259,48,11,TN
1260,48,12,TN
1261,48,13,TN
1262,48,14,TN
1263,48,15,TN
1264,48,16,TN
1265,48,17,TN
1266,48,18,TN
1267,48,19,TN
1268,48,20,TN
1269,48,21,TN
1270,48,22,TN
1271,48,23,TN
1272,48,24,TN
1273,48,25,TN
1274,49,0,FP
1275,49,1,FP
1276,49,2,FP
1277,49,3,TN
1278,49,4,TN
1279,49,5,TN
1280,49,6,TN
1281,49,7,TN
1282,49,8,TN
1283,49,9,TN
1284,49,10,TN
1285,49,11,TN
1286,49,12,TN
1287,49,13,TN
1288,49,14,TN
1289,49,15,TN
1290,49,16,TN
1291,49,17,TN
1292,49,18,TN
1293,49,19,TN
1294,49,20,TN
1295,49,21,TN
1296,49,22,TN
1297,49,23,TN
1298,49,24,TN
1299,49,25,TN
1300,50,0,FP
1301,50,1,FP
1302,50,2,TN
1303,50,3,TN
1304,50,4,TN
1305,50,5,TN
1306,50,6,TN
1307,50,7,TN
1308,50,8,TN
1309,50,9,TN
1310,50,10,TN
1311,50,11,TN
1312,50,12,TN
1313,50,13,TN
1314,50,14,TN
1315,50,15,TN
1316,50,16,TN
1317,50,17,TN
1318,50,18,TN
1319,50,19,TN
1320,50,20,TN
1321,50,21,TN
1322,50,22,TN
1323,50,23,TN
1324,50,24,TN
1325,50,25,TN
1326,51,0,FP
1327,51,1,FP
1328,51,2,FP
1329,51,3,TN
1330,51,4,TN
1331,51,5,TN
1332,51,6,TN
1333,51,7,TN
1334,51,8,TN
1335,51,9,TN
1336,51,10,TN
1337,51,11,TN
1338,51,12,TN
1339,51,13,TN
1340,51,14,TN
1341,51,15,TN
1342,51,16,TN
1343,51,17,TN
1344,51,18,TN
1345,51,19,TN
1346,51,20,TN
1347,51,21,TN
1348,51,22,TN
1349,51,23,TN
1350,51,24,TN
1351,51,25,TN
1352,52,0,FP
1353,52,1,FP
1354,52,2,FP
1355,52,3,TN
1356,52,4,TN
1357,52,5,TN
1358,52,6,TN
1359,52,7,TN
1360,52,8,TN
1361,52,9,TN
1362,52,10,TN
1363,52,11,TN
1364,52,12,TN
1365,52,13,TN
1366,52,14,TN
1367,52,15,TN
1368,52,16,TN
1369,52,17,TN
1370,52,18,TN
1371,52,19,TN
1372,52,20,TN
1373,52,21,TN
1374,52,22,TN
1375,52,23,TN
1376,52,24,TN
1377,52,25,TN
1378,53,0,TP
1379,53,1,TP
1380,53,2,TP
1381,53,3,TP
1382,53,4,TP
1383,53,5,TP
1384,53,6,TP
1385,53,7,TP
1386,53,8,TP
1387,53,9,TP
1388,53,10,TP
1389,53,11,FN
1390,53,12,FN
1391,53,13,FN
1392,53,14,FN
1393,53,15,FN
1394,53,16,FN
1395,53,17,FN
1396,53,18,FN
1397,53,19,FN
1398,53,20,FN
1399,53,21,FN
1400,53,22,FN
1401,53,23,FN
1402,53,24,FN
1403,53,25,FN
1404,54,0,TP
1405,54,1,TP
1406,54,2,TP
1407,54,3,TP
1408,54,4,TP
1409,54,5,TP
1410,54,6,TP
1411,54,7,TP
1412,54,8,TP
1413,54,9,TP
1414,54,10,TP
1415,54,11,TP
1416,54,12,TP
1417,54,13,TP
1418,54,14,TP
1419,54,15,TP
1420,54,16,TP
1421,54,17,TP
1422,54,18,FN
1423,54,19,FN
1424,54,20,FN
1425,54,21,FN
1426,54,22,FN
1427,54,23,FN
1428,54,24,FN
1429,54,25,FN
1430,55,0,FP
1431,55,1,FP
1432,55,2,FP
1433,55,3,TN
1434,55,4,TN
1435,55,5,TN
1436,55,6,TN
1437,55,7,TN
1438,55,8,TN
1439,55,9,TN
1440,55,10,TN
1441,55,11,TN
1442,55,12,TN
1443,55,13,TN
1444,55,14,TN
1445,55,15,TN
1446,55,16,TN
1447,55,17,TN
1448,55,18,TN
1449,55,19,TN
1450,55,20,TN
1451,55,21,TN
1452,55,22,TN
1453,55,23,TN
1454,55,24,TN
